LAND_SF,YR_BUILT,NUM_FLOORS,NUM_PARK,NUM_RMS,NUM_BDRMS,NUM_FULL_BTH,NUM_HALF_BTH,ZIP_CODE,AV_TOTAL
520.0,1905.0,1.0,0.0,4.0,2.0,1.0,0.0,2127.0,312800
2394.0,1905.0,3.0,0.0,15.0,6.0,3.0,0.0,2130.0,940100
3446.0,1900.0,2.0,0.0,10.0,3.0,2.0,0.0,2128.0,518300
956.0,1920.0,1.0,1.0,5.0,2.0,1.0,0.0,2135.0,479800
5240.0,1920.0,1.5,0.0,7.0,3.0,1.0,0.0,2122.0,342400
1020.0,1900.0,1.0,0.0,6.0,3.0,1.0,0.0,2122.0,172900
2351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136.0,15800
6653.0,1950.0,2.0,0.0,12.0,6.0,2.0,0.0,2126.0,446400
4852.0,1922.0,2.0,0.0,7.0,4.0,3.0,1.0,2125.0,803000
3477.0,1905.0,3.0,0.0,15.0,6.0,3.0,0.0,2124.0,607100
1140.0,1875.0,3.0,0.0,9.0,5.0,2.0,2.0,2127.0,1046000
1050.0,1899.0,1.0,0.0,4.0,2.0,2.0,0.0,2108.0,1126000
815.0,1890.0,1.0,0.0,4.0,2.0,2.0,0.0,2118.0,710800
1900941.0,1899.0,7.0,0.0,0.0,0.0,0.0,0.0,2125.0,165610500
760.0,1880.0,2.0,0.0,3.0,1.0,1.0,0.0,2109.0,439100
4136.0,1920.0,1.0,0.0,7.0,4.0,2.0,0.0,2132.0,437600
5000.0,1936.0,2.0,0.0,11.0,5.0,2.0,0.0,2132.0,654500
725.0,1910.0,1.0,0.0,4.0,2.0,1.0,0.0,2109.0,462600
5032.0,1941.0,2.0,0.0,6.0,3.0,1.0,0.0,2136.0,315900
694.0,1900.0,1.0,0.0,3.0,1.0,1.0,0.0,2130.0,299700
1295.0,1905.0,1.0,1.0,6.0,3.0,1.0,0.0,2130.0,466000
41727.0,1920.0,7.0,0.0,0.0,0.0,0.0,0.0,2115.0,654500
895.0,1890.0,1.0,0.0,5.0,3.0,1.0,0.0,2135.0,383100
5000.0,2008.0,2.5,0.0,8.0,4.0,2.0,1.0,2136.0,599300
4962.0,1900.0,2.5,0.0,14.0,6.0,3.0,0.0,2120.0,1303500
1248.0,2006.0,1.0,0.0,3.0,1.0,2.0,0.0,2118.0,1261300
8705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,188400
2500.0,1900.0,2.5,0.0,13.0,5.0,3.0,0.0,2128.0,576200
1800.0,1899.0,4.5,0.0,0.0,0.0,0.0,0.0,2118.0,1671500
3812.0,1931.0,2.0,0.0,8.0,3.0,1.0,1.0,2132.0,433600
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,26500
5244.0,1950.0,2.0,0.0,10.0,4.0,2.0,0.0,2131.0,479700
2187.0,1910.0,2.0,0.0,13.0,6.0,3.0,0.0,2128.0,520300
850.0,1885.0,3.0,0.0,6.0,3.0,2.0,1.0,2127.0,537700
17700.0,1910.0,4.0,0.0,0.0,0.0,0.0,0.0,2215.0,6633500
481.0,1940.0,1.0,0.0,2.0,1.0,1.0,0.0,2135.0,283200
1211.0,1972.0,1.0,0.0,3.0,1.0,1.0,1.0,2110.0,737892
1993.0,1918.0,3.0,1.0,8.0,4.0,1.0,1.0,2124.0,351500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,56000
351.0,1910.0,1.0,0.0,2.0,1.0,1.0,0.0,2116.0,428800
8002.0,1985.0,1.0,0.0,7.0,2.0,1.0,0.0,2128.0,423300
88913.0,1900.0,5.0,0.0,0.0,0.0,0.0,0.0,2118.0,0
1345.0,1989.0,1.0,1.0,6.0,3.0,1.0,1.0,2130.0,440730
900.0,1960.0,1.0,0.0,4.0,2.0,1.0,0.0,2118.0,713400
4100.0,1900.0,2.0,0.0,6.0,2.0,1.0,1.0,2136.0,303700
376.0,1889.0,1.0,0.0,2.0,1.0,1.0,0.0,2116.0,421300
4403.0,1910.0,2.0,0.0,6.0,3.0,1.0,1.0,2126.0,363700
